Difficulty,Title,Frequency,Link,Topics,Companies
HARD,Count Number of Balanced Permutations,29.8,https://leetcode.com/problems/count-number-of-balanced-permutations,"Math, String, Dynamic Programming, Combinatorics",Google
MEDIUM,Longest Repeating Character Replacement,29.8,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window",Google
EASY,Three Consecutive Odds,29.8,https://leetcode.com/problems/three-consecutive-odds,Array,Google
EASY,Merge Strings Alternately,29.8,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String","Google, Microsoft"
MEDIUM,Cheapest Flights Within K Stops,29.8,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path",Google
EASY,Valid Palindrome II,29.8,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy","Google, Meta"
MEDIUM,Total Characters in String After Transformations I,29.8,https://leetcode.com/problems/total-characters-in-string-after-transformations-i,"Hash Table, Math, String, Dynamic Programming, Counting",Google
MEDIUM,Separate Squares I,29.8,https://leetcode.com/problems/separate-squares-i,"Array, Binary Search",Google
MEDIUM,Linked List Cycle II,29.8,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers",Google
EASY,Article Views I,29.8,https://leetcode.com/problems/article-views-i,Database,Google
MEDIUM,Interval List Intersections,29.8,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep","Google, Meta"
EASY,Can Place Flowers,29.8,https://leetcode.com/problems/can-place-flowers,"Array, Greedy","Google, Microsoft, Meta"
MEDIUM,Network Delay Time,29.8,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path",Google
HARD,N-Queens,29.8,https://leetcode.com/problems/n-queens,"Array, Backtracking",Google
MEDIUM,Move Pieces to Obtain a String,29.8,https://leetcode.com/problems/move-pieces-to-obtain-a-string,"Two Pointers, String",Google
MEDIUM,Accounts Merge,29.8,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting","Google, Meta"
EASY,Add Digits,29.8,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory",Google
HARD,Expression Add Operators,29.8,https://leetcode.com/problems/expression-add-operators,"Math, String, Backtracking","Google, Meta"
MEDIUM,Simplify Path,29.8,https://leetcode.com/problems/simplify-path,"String, Stack","Google, Meta"
EASY,Plus One,29.8,https://leetcode.com/problems/plus-one,"Array, Math",Google
MEDIUM,Maximal Square,29.8,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix",Google
EASY,Recyclable and Low Fat Products,29.8,https://leetcode.com/problems/recyclable-and-low-fat-products,Database,Google
HARD,Read N Characters Given read4 II - Call Multiple Times,100.0,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,"Array, Simulation, Interactive",Lyft
MEDIUM,Sort List,76.2,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort",Lyft
EASY,Single Number,61.1,https://leetcode.com/problems/single-number,"Array, Bit Manipulation",Microsoft
MEDIUM,Subsets,61.1,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation","Microsoft, Meta"
